event_id,event_seq,shift_hour_at_event,hours_remaining_in_shift,rul_numeric,kpi_score,n_kpi_bad,recent_temp_dev_c,recent_vibration_mm_s,recent_waste_kg_last_hour,recent_oee_pct,operator_skill_level,on_hold_inventory_kg_current,action_freq_same_situation_2w,action_freq_same_situation_2m,action_success_rate_2m,status,criticality,asset_type,qc_nogo,plant,state,action_id,t_resolve_min,unplanned_downtime_remaining_shift_min,waste_kg_remaining_shift,temp_deviation_c_avg,vibration_mm_s_avg,production_goal_pct_remaining,true_efficiency_pct_remaining,consumer_complaints_expected,quality_ok_pct_remaining,operator_satisfaction_1_5,on_hold_inventory_kg_generated,weighted_kpi_impact
EV-00002,2,0,8,523.0,67.3,0,0.32,0.97,4.4,80.3,5,134.5,0.0,0.0,0.5,Working,High,Case Packer,0,Topeka,KS,2,47.425,93.231,70.787,0.253,0.567,68.157,65.908,0.107,95.221,3.939,62.205,0.8205
EV-00002,2,0,8,523.0,67.3,0,0.32,0.97,4.4,80.3,5,134.5,0.0,0.0,0.5,Working,High,Case Packer,0,Topeka,KS,4,14.194,26.393,33.519,0.311,0.963,83.905,75.46,0.43,93.67,3.347,16.205,0.8939
EV-00002,2,0,8,523.0,67.3,0,0.32,0.97,4.4,80.3,5,134.5,0.0,0.0,0.5,Working,High,Case Packer,0,Topeka,KS,6,22.797,14.06,2.325,0.289,0.784,73.739,59.738,0.168,93.769,4.339,15.652,0.8778
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,0,0.0,19.696,0.0,1.148,1.665,91.774,79.51,0.325,97.986,4.314,7.485,0.9383
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,1,42.232,62.99,0.0,1.056,1.405,77.728,75.305,1.144,96.783,4.824,100.628,0.8688
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,2,54.022,87.115,62.037,0.731,1.264,81.522,63.905,0.489,95.355,4.24,68.285,0.8322
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,3,13.89,56.794,75.877,1.051,1.37,70.411,73.844,0.495,94.997,3.366,97.748,0.8551
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,4,16.695,31.973,38.656,0.956,1.347,79.794,65.012,0.358,92.136,3.2,75.684,0.8647
EV-00003,3,0,8,910.0,87.1,1,1.08,1.48,0.0,86.7,4,186.0,0.0,0.0,0.5,Working,Medium,Case Line,0,Dallas,TX,6,19.633,0.0,0.0,1.023,1.137,60.573,68.013,0.225,94.639,2.621,38.228,0.8536
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,1.0,1.0,Working,High,Palletizer,0,Modesto,CA,0,0.0,4.131,47.574,0.311,0.136,92.37,89.154,0.464,95.627,4.528,1.711,0.9569
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,0.0,0.5,Working,High,Palletizer,0,Modesto,CA,1,51.636,61.346,28.417,0.272,0.11,90.935,78.612,0.521,91.527,4.034,38.077,0.8764
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,0.0,0.5,Working,High,Palletizer,0,Modesto,CA,2,81.908,114.944,27.343,0.166,0.081,68.192,72.011,0.0,95.032,3.166,30.687,0.7936
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,0.0,0.5,Working,High,Palletizer,0,Modesto,CA,3,16.239,30.124,56.138,0.266,0.118,70.846,78.362,0.503,99.405,3.629,56.132,0.8844
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,0.0,0.5,Working,High,Palletizer,0,Modesto,CA,4,12.027,11.129,15.292,0.265,0.146,80.618,73.539,0.391,92.787,3.867,95.088,0.903
EV-00004,4,2,6,554.7,64.4,1,0.31,0.14,7.4,74.6,3,112.6,0.0,0.0,0.5,Working,High,Palletizer,0,Modesto,CA,6,14.024,15.147,32.802,0.257,0.132,72.315,75.436,0.122,95.091,2.446,0.0,0.8774
EV-00005,5,1,7,-1.0,34.5,2,4.84,3.64,9.7,63.6,4,207.3,0.0,0.0,0.5,Breakdown,High,Seasoning Train,0,Vancouver,WA,2,53.062,100.418,108.593,3.655,2.187,66.627,60.854,0.391,95.948,4.054,100.551,0.7885
EV-00005,5,1,7,-1.0,34.5,2,4.84,3.64,9.7,63.6,4,207.3,0.0,0.0,0.5,Breakdown,High,Seasoning Train,0,Vancouver,WA,3,25.311,48.358,54.156,3.895,3.304,71.826,66.167,0.578,95.301,4.212,5.126,0.8455
EV-00005,5,1,7,-1.0,34.5,2,4.84,3.64,9.7,63.6,4,207.3,0.0,0.0,0.5,Breakdown,High,Seasoning Train,0,Vancouver,WA,5,28.591,28.591,23.458,2.42,1.092,86.325,81.131,0.692,93.917,4.642,69.91,0.9025
EV-00005,5,1,7,-1.0,34.5,2,4.84,3.64,9.7,63.6,4,207.3,0.0,0.0,0.5,Breakdown,High,Seasoning Train,0,Vancouver,WA,7,110.018,132.457,130.866,1.936,1.456,78.694,60.148,0.053,98.068,2.799,442.177,0.7316
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,1.0,1.0,Working,Low,Bag Maker,0,Dallas,TX,0,0.0,19.757,13.806,1.07,1.168,89.966,88.591,0.275,96.046,4.131,61.771,0.9419
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Dallas,TX,1,51.257,57.01,0.0,0.898,0.863,86.608,80.857,0.358,95.539,2.78,99.243,0.8617
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Dallas,TX,2,70.461,72.84,53.167,0.652,0.683,61.156,70.208,0.593,94.909,3.045,63.172,0.7932
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Dallas,TX,3,29.924,33.974,25.669,0.868,1.041,70.616,69.112,0.347,94.796,3.724,89.148,0.8583
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Dallas,TX,4,12.424,16.839,0.0,0.898,1.042,83.395,68.812,0.839,94.472,3.15,30.949,0.8882
EV-00006,6,7,1,649.1,81.7,1,0.9,1.12,12.8,73.3,3,97.7,0.0,0.0,0.5,Working,Low,Bag Maker,0,Dallas,TX,6,5.761,1.925,0.0,0.669,0.969,51.897,74.795,0.441,99.606,2.714,26.255,0.8659
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,1,42.933,34.391,52.998,7.335,0.702,89.969,76.863,0.589,99.983,3.82,90.953,0.8718
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,2,36.483,48.082,34.926,6.019,0.688,66.25,74.494,0.379,92.734,3.876,159.231,0.8374
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,3,19.758,55.045,36.844,8.069,0.847,79.056,67.573,0.446,96.886,4.6,135.845,0.8638
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,4,17.756,8.703,6.228,8.008,0.856,73.1,74.715,0.992,97.007,4.026,0.0,0.8793
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,5,35.705,53.196,121.935,8.01,0.846,68.558,54.085,0.786,87.44,3.578,158.839,0.7894
EV-00007,7,4,4,203.6,51.0,1,8.9,0.94,4.7,45.2,4,0.0,0.0,0.0,0.5,Failure Predicted,Medium,Seasoning Train,0,Beloit,WI,7,121.668,134.177,200.441,3.56,0.376,73.044,61.669,0.0,97.293,3.524,522.102,0.715
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,0.0,0.5,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,1,56.95,75.563,102.925,3.738,2.768,81.471,73.933,1.039,92.635,4.015,72.258,0.8218
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,0.0,0.5,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,2,46.004,46.004,34.161,3.488,2.226,86.662,76.1,0.525,95.643,3.083,87.017,0.8531
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,0.0,0.5,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,3,32.883,49.504,47.204,4.385,2.861,77.733,77.124,0.32,93.312,3.742,110.484,0.8526
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,1.0,1.0,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,4,8.777,30.997,175.254,4.619,2.691,76.914,61.901,0.456,91.686,3.193,42.954,0.8346
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,0.0,0.5,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,5,15.0,27.211,97.174,2.665,0.93,81.892,81.043,0.055,92.317,4.203,0.0,0.8964
EV-00008,8,1,7,186.9,43.0,2,5.33,3.1,29.0,55.4,4,15.8,0.0,0.0,0.5,Failure Predicted,High,Seasoning Train,0,Frito-Lay-West,AZ,7,77.136,77.136,102.951,2.132,1.24,78.844,65.69,0.288,96.447,3.474,358.965,0.7936
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,1,41.526,51.058,30.064,4.54,0.102,75.136,65.464,1.342,93.749,4.032,5.811,0.8409
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,2,81.681,94.396,66.62,4.087,0.102,62.417,72.88,0.955,93.474,3.847,0.0,0.7846
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,3,19.633,74.905,37.556,4.188,0.099,76.871,77.922,0.411,90.324,3.704,57.699,0.8628
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,4,21.712,13.336,25.874,5.018,0.104,77.559,69.98,0.433,93.963,3.803,72.709,0.8766
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,5,52.118,69.499,94.132,4.32,0.108,58.188,66.686,1.211,89.427,3.637,128.867,0.7877
EV-00009,9,7,1,213.0,59.2,2,4.8,0.12,28.3,58.8,4,85.8,0.0,0.0,0.5,Failure Predicted,Low,Fryer,0,Killingly,CT,7,94.501,60.0,136.979,1.92,0.048,69.057,48.051,0.664,97.394,2.047,201.952,0.7377
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,1,61.239,75.615,54.854,8.02,2.067,72.3,67.524,0.75,95.568,3.671,76.664,0.7981
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,2,40.785,50.618,61.812,7.648,1.485,74.933,65.49,0.287,95.774,3.541,0.0,0.8275
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,3,13.481,76.802,46.069,8.352,2.463,64.756,72.308,0.0,98.736,4.864,99.065,0.8492
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,4,9.895,32.916,92.239,7.523,2.411,74.219,65.903,0.622,91.891,3.819,44.583,0.847
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,5,62.145,75.715,117.764,7.92,2.394,54.754,62.093,1.184,88.627,1.962,88.388,0.73
EV-00010,10,6,2,113.8,32.4,2,8.8,2.66,50.3,60.4,2,119.2,0.0,0.0,0.5,Failure Predicted,High,Thermal Oil,0,Frito-Lay-East,PA,7,110.212,120.0,159.635,3.52,1.064,63.421,70.085,0.343,100.0,2.498,257.544,0.7235
EV-00011,11,2,6,1044.2,69.5,0,2.48,0.14,10.9,87.9,4,84.4,0.0,0.0,0.5,Working,High,Fryer,0,Topeka,KS,0,0.0,4.733,71.899,2.236,0.167,100.0,89.127,0.192,95.178,3.52,0.0,0.948
EV-00011,11,2,6,1044.2,69.5,0,2.48,0.14,10.9,87.9,4,84.4,0.0,0.0,0.5,Working,High,Fryer,0,Topeka,KS,1,40.561,43.602,35.26,2.362,0.104,80.053,88.519,0.0,91.233,4.181,64.266,0.8869
EV-00011,11,2,6,1044.2,69.5,0,2.48,0.14,10.9,87.9,4,84.4,0.0,0.0,0.5,Working,High,Fryer,0,Topeka,KS,2,51.623,75.228,18.988,1.758,0.1,80.845,71.195,0.285,91.268,2.897,52.043,0.8344
EV-00011,11,2,6,1044.2,69.5,0,2.48,0.14,10.9,87.9,4,84.4,0.0,0.0,0.5,Working,High,Fryer,0,Topeka,KS,4,7.843,15.095,48.693,2.468,0.123,84.511,70.429,0.906,94.01,3.596,14.727,0.8948
EV-00012,12,1,7,467.1,84.7,2,0.24,3.67,8.8,70.6,3,0.0,0.0,0.0,0.5,Working,High,Bag Maker,0,Frito-Lay-West,AZ,1,37.074,33.166,1.186,0.224,2.714,74.594,69.174,0.954,100.0,4.291,111.297,0.8649
EV-00012,12,1,7,467.1,84.7,2,0.24,3.67,8.8,70.6,3,0.0,0.0,0.0,0.5,Working,High,Bag Maker,0,Frito-Lay-West,AZ,2,44.421,70.279,79.696,0.168,3.089,66.78,71.343,0.761,92.397,2.476,19.737,0.8031
EV-00012,12,1,7,467.1,84.7,2,0.24,3.67,8.8,70.6,3,0.0,0.0,0.0,0.5,Working,High,Bag Maker,0,Frito-Lay-West,AZ,3,27.052,63.211,42.98,0.206,3.256,65.476,69.656,0.481,94.016,3.234,103.769,0.8287
EV-00012,12,1,7,467.1,84.7,2,0.24,3.67,8.8,70.6,3,0.0,0.0,0.0,0.5,Working,High,Bag Maker,0,Frito-Lay-West,AZ,4,18.326,20.658,49.334,0.205,3.587,65.175,74.936,0.573,97.237,3.685,66.969,0.8622
EV-00012,12,1,7,467.1,84.7,2,0.24,3.67,8.8,70.6,3,0.0,0.0,0.0,0.5,Working,High,Bag Maker,0,Frito-Lay-West,AZ,6,10.251,4.668,27.121,0.185,3.474,49.835,72.406,0.352,96.804,3.838,22.522,0.8577
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,1,33.193,38.026,43.718,1.082,1.457,75.437,79.448,0.291,99.785,4.258,88.782,0.8801
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,2,53.765,100.367,35.41,0.932,1.158,71.249,67.561,0.528,89.803,3.05,25.486,0.8039
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,3,24.408,6.266,16.405,1.434,1.329,58.434,65.398,0.244,97.024,4.206,71.731,0.8593
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,4,19.929,41.79,87.844,1.453,1.625,74.947,81.564,0.846,95.394,3.436,0.0,0.8697
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,5,59.03,59.03,125.604,1.314,1.431,50.373,57.393,0.709,87.715,3.35,155.511,0.7592
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,6,5.712,3.672,58.594,1.09,1.271,64.785,72.798,0.658,98.403,3.159,19.083,0.8742
EV-00013,13,5,3,67.4,54.1,2,1.46,1.59,26.5,50.8,2,141.7,0.0,0.0,0.5,Failure Predicted,Low,Bag Maker,0,Modesto,CA,7,68.931,87.942,209.947,0.584,0.636,69.448,66.196,0.331,97.352,3.007,441.814,0.7687
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.667,1.0,Working,Medium,Bag Maker,0,Vancouver,WA,0,0.0,0.799,15.411,0.865,2.249,92.431,92.026,0.514,96.448,4.106,47.094,0.9513
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.333,1.0,Working,Medium,Bag Maker,0,Vancouver,WA,1,44.132,58.775,9.124,0.87,1.664,77.944,81.827,0.513,93.272,2.999,70.566,0.8536
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.0,0.5,Working,Medium,Bag Maker,0,Vancouver,WA,2,50.748,87.343,42.022,0.83,1.442,72.84,68.416,0.093,93.087,4.147,28.583,0.8305
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.0,0.5,Working,Medium,Bag Maker,0,Vancouver,WA,3,25.825,26.021,66.993,0.832,1.897,75.412,73.962,0.06,94.591,3.511,91.343,0.8667
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.0,0.5,Working,Medium,Bag Maker,0,Vancouver,WA,4,9.935,34.157,0.0,0.833,1.851,76.834,77.489,0.485,94.063,2.907,73.773,0.8809
EV-00014,14,7,1,643.0,66.1,1,0.94,2.16,16.4,77.3,3,22.0,0.0,0.0,0.5,Working,Medium,Bag Maker,0,Vancouver,WA,6,8.155,7.018,0.0,0.783,1.648,60.791,63.639,0.089,100.0,4.071,40.391,0.8768
EV-00015,15,3,5,953.2,83.6,0,1.93,1.26,13.8,83.2,3,34.9,0.0,0.0,0.5,Working,High,Thermal Oil,0,Topeka,KS,0,0.0,5.627,70.833,1.931,1.409,99.152,90.607,0.851,97.205,3.862,51.259,0.9463
EV-00015,15,3,5,953.2,83.6,0,1.93,1.26,13.8,83.2,3,34.9,0.0,0.0,0.5,Working,High,Thermal Oil,0,Topeka,KS,1,47.88,59.827,38.8,1.517,1.061,73.87,81.681,1.162,93.873,4.405,92.03,0.8562
EV-00015,15,3,5,953.2,83.6,0,1.93,1.26,13.8,83.2,3,34.9,0.0,0.0,0.5,Working,High,Thermal Oil,0,Topeka,KS,2,61.696,102.961,3.804,1.344,0.649,68.512,69.299,0.436,90.456,3.429,39.991,0.8058
EV-00015,15,3,5,953.2,83.6,0,1.93,1.26,13.8,83.2,3,34.9,0.0,0.0,0.5,Working,High,Thermal Oil,0,Topeka,KS,4,5.0,20.734,80.899,1.807,1.312,76.465,77.909,1.383,97.809,3.093,45.983,0.8804
EV-00016,16,7,1,766.5,71.1,1,5.87,0.57,0.0,75.1,3,60.6,0.0,1.0,1.0,Working,High,Thermal Oil,0,Modesto,CA,0,0.0,13.18,0.0,5.413,0.631,91.749,86.252,0.182,96.415,4.446,17.771,0.9443
EV-00016,16,7,1,766.5,71.1,1,5.87,0.57,0.0,75.1,3,60.6,0.0,0.0,0.5,Working,High,Thermal Oil,0,Modesto,CA,1,54.824,59.538,0.802,5.69,0.555,77.419,71.38,0.804,100.0,4.013,71.088,0.8438
EV-00016,16,7,1,766.5,71.1,1,5.87,0.57,0.0,75.1,3,60.6,0.0,0.0,0.5,Working,High,Thermal Oil,0,Modesto,CA,2,60.743,100.688,29.351,4.227,0.418,64.961,75.309,0.564,97.682,3.268,0.0,0.8059
EV-00016,16,7,1,766.5,71.1,1,5.87,0.57,0.0,75.1,3,60.6,0.0,0.0,0.5,Working,High,Thermal Oil,0,Modesto,CA,3,33.472,81.886,46.997,5.057,0.49,79.254,63.968,0.517,96.935,3.811,89.735,0.8375
EV-00016,16,7,1,766.5,71.1,1,5.87,0.57,0.0,75.1,3,60.6,0.0,0.0,0.5,Working,High,Thermal Oil,0,Modesto,CA,4,12.023,28.08,0.0,6.004,0.597,79.46,77.729,0.472,91.332,3.74,69.651,0.8873
EV-00017,17,3,5,1194.8,69.1,0,5.0,0.92,12.9,82.6,4,168.3,0.0,1.0,1.0,Working,Medium,Fryer,0,Frito-Lay-East,PA,0,0.0,15.569,62.513,5.389,0.944,91.133,85.621,0.152,96.614,3.932,13.983,0.9271
EV-00017,17,3,5,1194.8,69.1,0,5.0,0.92,12.9,82.6,4,168.3,0.0,0.0,0.5,Working,Medium,Fryer,0,Frito-Lay-East,PA,1,37.533,54.009,41.055,4.025,0.904,81.687,84.943,0.253,94.513,3.383,91.616,0.8675
EV-00017,17,3,5,1194.8,69.1,0,5.0,0.92,12.9,82.6,4,168.3,0.0,0.0,0.5,Working,Medium,Fryer,0,Frito-Lay-East,PA,2,71.147,120.377,6.024,2.68,0.565,70.001,64.978,0.274,95.541,4.414,0.0,0.8052
EV-00017,17,3,5,1194.8,69.1,0,5.0,0.92,12.9,82.6,4,168.3,0.0,0.0,0.5,Working,Medium,Fryer,0,Frito-Lay-East,PA,4,19.574,39.32,63.926,5.107,0.906,75.049,76.362,0.627,93.686,3.091,52.382,0.8567
EV-00018,18,0,8,-1.0,22.2,4,0.72,9.41,0.6,48.0,3,198.1,0.0,0.0,0.5,Breakdown,Medium,Bag Maker,1,Modesto,CA,2,54.506,89.585,101.948,0.598,8.42,50.893,60.644,0.204,100.0,3.498,123.156,0.7531
EV-00018,18,0,8,-1.0,22.2,4,0.72,9.41,0.6,48.0,3,198.1,0.0,0.0,0.5,Breakdown,Medium,Bag Maker,1,Modesto,CA,3,17.833,86.624,69.914,0.589,8.987,72.385,63.541,0.309,92.968,3.526,51.092,0.8113
EV-00018,18,0,8,-1.0,22.2,4,0.72,9.41,0.6,48.0,3,198.1,0.0,0.0,0.5,Breakdown,Medium,Bag Maker,1,Modesto,CA,5,32.211,32.372,15.945,0.36,2.823,95.443,83.292,0.072,98.923,3.987,42.794,0.9119
EV-00018,18,0,8,-1.0,22.2,4,0.72,9.41,0.6,48.0,3,198.1,0.0,0.0,0.5,Breakdown,Medium,Bag Maker,1,Modesto,CA,7,98.86,98.86,128.466,0.288,3.764,79.7,83.35,0.298,99.223,2.641,475.726,0.7731
